date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,score1,score2
12/11/1921,1921,0,,CHI,CBD,1623.205,1610.384,0.610157352,0.389842648,1641.262,1592.326,10,0
12/18/1921,1921,0,,CHI,ARI,1641.262,1476.436,0.789677871,0.210322129,1632.427,1485.271,0,0
12/18/1921,1921,0,,SEN,CBD,1319.27,1592.326,0.231890574,0.768109426,1307.796,1603.801,14,28
10/1/1922,1922,0,,BFF,HAM,1594.227,1430.693,0.788439965,0.211560035,1602.197,1422.723,7,0
10/1/1922,1922,0,,DAY,OOR,1509.485,1300,0.829213394,0.170786606,1520.451,1289.034,36,0
10/1/1922,1922,0,,ARI,MIL,1491.847,1300,0.814350471,0.185649529,1496.457,1295.391,3,0
10/1/1922,1922,0,,CBD,LOU,1570.867,1402.157,0.793367207,0.206632793,1584.553,1388.471,38,0
10/1/1922,1922,0,,RII,GB,1538.64,1456.797,0.699579495,0.300420505,1548.732,1446.705,19,14
10/1/1922,1922,0,,TOL,ECG,1504.938,1422.188,0.700675661,0.299324339,1520.492,1406.634,15,0
10/1/1922,1922,0,,AKR,COL,1585.573,1404.677,0.804630599,0.195369401,1598.264,1391.986,36,0
10/1/1922,1922,0,,RAC,CHI,1493.002,1589.952,0.454149427,0.545850573,1475.58,1607.373,0,6
10/8/1922,1922,0,,TOL,MIL,1520.492,1295.391,0.841569901,0.158430099,1510.074,1305.808,12,12
10/8/1922,1922,0,,RII,CHI,1548.732,1607.373,0.509150315,0.490849685,1532.295,1623.81,6,10
10/8/1922,1922,0,,GB,RAC,1446.705,1475.58,0.551801513,0.448198487,1428.647,1493.638,6,10
10/8/1922,1922,0,,OOR,COL,1289.034,1391.986,0.445598885,0.554401115,1319.588,1361.432,20,6
10/8/1922,1922,0,,DAY,CBD,1520.451,1584.553,0.501292323,0.498707677,1520.411,1584.593,0,0
10/12/1922,1922,0,,AKR,RCH,1598.264,1488.89,0.731800618,0.268199382,1591.194,1495.96,13,13
10/15/1922,1922,0,,ARI,GB,1496.457,1428.647,0.682333362,0.317666638,1512.269,1412.835,16,3
10/15/1922,1922,0,,RII,ECG,1532.295,1406.634,0.749797568,0.250202432,1551.226,1387.704,60,0
10/15/1922,1922,0,,BFF,COL,1602.197,1361.432,0.853225293,0.146774707,1609.918,1353.711,19,0
10/15/1922,1922,0,,CBD,OOR,1584.593,1319.588,0.869853208,0.130146792,1590.722,1313.459,14,0
10/15/1922,1922,0,,CHI,RCH,1623.81,1495.96,0.752154062,0.247845938,1633.287,1486.483,7,0
10/15/1922,1922,0,,MIL,RAC,1305.808,1493.638,0.330247401,0.669752599,1349.001,1450.445,20,0
10/15/1922,1922,0,,DAY,MNN,1520.411,1484.992,0.640620483,0.359379517,1540.279,1465.124,17,0
10/15/1922,1922,0,,TOL,HAM,1510.074,1422.723,0.706200754,0.293799246,1524.956,1407.841,14,0
10/22/1922,1922,0,,DAY,HAM,1540.279,1407.841,0.757044638,0.242955362,1553.854,1394.265,20,0
10/22/1922,1922,0,,MIL,GB,1349.001,1412.835,0.501678003,0.498321997,1348.95,1412.886,0,0
10/22/1922,1922,0,,RII,RCH,1551.226,1486.483,0.678494287,0.321505713,1571.238,1466.471,26,0
10/22/1922,1922,0,,AKR,CBD,1591.194,1590.722,0.593122097,0.406877903,1552.859,1629.058,0,22
10/22/1922,1922,0,,RAC,TOL,1450.445,1524.956,0.486315989,0.513684011,1430.307,1545.095,0,7
10/22/1922,1922,0,,CHI,BFF,1633.287,1609.918,0.624499999,0.375500001,1648.3,1594.904,7,0
10/22/1922,1922,0,,ARI,MNN,1512.269,1465.124,0.656008887,0.343991113,1521.344,1456.049,3,0
10/29/1922,1922,0,,CHI,CBD,1648.3,1629.058,0.618912744,0.381087256,1639.378,1637.979,6,7
10/29/1922,1922,0,,GB,RII,1412.886,1571.238,0.368797898,0.631202102,1416.887,1567.237,0,0
